COD_CLIENTE	COD_PEDIDO	CODIGO_PRODUTO	DEPTO	QUANTIDADE	VALOR_UNITARIO	QTD_PARCELAS	DT_PEDIDO	MEIO_PAGTO	STATUS_PAGAMENTO
2777634	2064637	934171363	TELEFONIA	1	 905,15 	6	25/07/2018	CC	APROVADO
2777634	2066196	928165041	BEBES	1	 194,26 	6	01/08/2018	CC	APROVADO
2777634	2066196	889040956	DECORACAO	2	 72,85 	6	01/08/2018	CC	APROVADO
2777634	2066196	791339499	MODA	1	 59,48 	6	01/08/2018	CC	APROVADO
2777634	2066196	881414575	TELEFONIA	1	 1.351,02 	6	01/08/2018	CC	APROVADO
2777634	2066196	926692710	TV	1	 1.516,48 	6	01/08/2018	CC	APROVADO
2777634	2068305	927728290	TELEFONIA	1	 962,98 	6	09/08/2018	CC	APROVADO
2777634	2071202	918103283	TELEFONIA	1	 593,98 	8	17/08/2018	CC	APROVADO
2777634	2071202	926661189	TELEFONIA	1	 708,11 	8	17/08/2018	CC	APROVADO
2777634	2071202	931451422	TELEFONIA	2	 462,24 	8	17/08/2018	CC	APROVADO
2777634	2071202	934217710	TELEFONIA	1	 777,57 	8	17/08/2018	CC	APROVADO
2777634	1700670	898534601	TELEFONIA	1	 269,99 	1	22/10/2016	VOUCHER	APROVADO
2777634	1700670	901448680	TELEFONIA	1	 521,99 	1	22/10/2016	VOUCHER	APROVADO
2777634	1700670	903492015	TELEFONIA	1	 656,99 	1	22/10/2016	VOUCHER	APROVADO
2777634	1465648	877716615	TELEFONIA	1	 764,09 	6	14/04/2016	CC	APROVADO
2777634	1498206	869810080	TELEFONIA	1	 621,26 	6	27/04/2016	CC	APROVADO
2777634	1498206	879666045	TELEFONIA	1	 744,92 	6	27/04/2016	CC	APROVADO
2110385	752967	840764021	BELEZA	1	 364,37 	6	10/04/2015	CC	APROVADO
2110385	752939	852744878	TELEFONIA	1	 575,09 	1	10/04/2015	CC	APROVADO
2110385	757091	852744878	TELEFONIA	2	 570,60 	1	17/04/2015	CC	APROVADO
2110385	770703	852744878	TELEFONIA	3	 569,10 	1	07/05/2015	CC	APROVADO
2110385	858467	853079786	TELEFONIA	1	 546,79 	1	15/08/2015	CC	APROVADO
2110385	1323502	849323432	TELEFONIA	1	 491,68 	1	25/11/2015	CC	APROVADO
2110385	1323502	869793504	TELEFONIA	1	 388,99 	1	25/11/2015	CC	APROVADO
2110385	1323502	869793686	TELEFONIA	1	 388,63 	1	25/11/2015	CC	APROVADO
2110385	1354890	845627264	TELEFONIA	1	 486,93 	2	11/12/2015	CC	APROVADO
2110385	1354890	849323432	TELEFONIA	1	 543,98 	2	11/12/2015	CC	APROVADO
2110385	1388523	852779346	DECORACAO	1	 84,51 	1	11/01/2016	CC	APROVADO
2110385	1449216	869793686	TELEFONIA	1	 552,68 	1	24/03/2016	CC	APROVADO
